Company,employees,anrv,latest,date
Fishbowl,99,3000000,5300000,43846
upSWOT,110,1000000,4300000,44270
LemonBox,25,1500000,2500000,44169
upSWOT,110,1000000,4300000,44270
"Tapcentive, Inc.",9,3000000,300000,43560
"Bexi, Inc.",23,2400000,300000,42659
Mindesk,8,4600000,120000,43536
Agency Spotter,12,4300000,230000,43837
"Pogoseat, Inc.",8,1000000,2500000,41848
DeepSource,39,2500000,2600000,43998
PropBidder,2,1000000,1000000,44593
Comeet,110,5000000,470000,42548
Mapistry,27,2000000,2500000,43249
Supreme Golf,24,1245000,6000000,43228
frevvo Inc.,16,3082000,500000,39448
Major League Hacking,220,1300000,1000000,42459
Seva,14,1100000,2400000,43391
Vendorful,13,1900000,3051008,43796
Tenjin,35,5000000,2500000,42525
Admiral: The Visitor Relationship Management Company,30,4000000,2600000,43547
Level Frames,3,2400000,,42078
Learning Machine,2,2200000,3000000,43227
Workast,4,1000000,1850000,43146
Captiv8,180,4200000,2000000,42480
Hydrosat,33,1900000,10000000,44501
Pixilated,9,1000000,500000,42809
ActivityHero,16,3000000,2200000,41885
GitStart | For companies (YC S19),32,1800000,5000000,44682
Sosivio,24,1200000,4000000,44317
Referral Rock Inc,22,4400000,1000000,41183
UpLink,22,1000000,3000000,43809
Workast,4,1000000,1850000,43146
Addicaid,2,5000000,290000,43013
Oncobox,5,2400000,120000,42948
Breinify,33,2500000,11000000,44317
Cien.ai,14,1500000,3500000,43617
Accountable HQ,8,2400000,,41852
Ubiq Security,26,2300000,6400000,44154
Blue Sentry Cloud,59,2595000,300000,42521
Wake,12,3000000,3800000,42234
Yorso,7,3900000,,43252
Huckabuy,14,2000000,2300000,43865
Realquantum,18,2100000,850000,43433
FiComm Partners,16,1000000,300000,43345
"Moback, Inc.",45,2000000,500000,42670
Onboard.io - (YC W22) Customer Onboarding Software,10,1300000,1250000,44244
ConceptDrop,7,4000000,1100000,42510
StreamLoan,15,4000000,2000000,43145
Internxt,17,4230000,1000000,44364
Lootcakes,11,1200000,2000000,44063
theMednet,24,1000000,1300000,42917
Included,13,1200000,3500000,44682
twine,19,1200000,3300000,44365
Sourcely,4,5000000,4500000,43355
"Ve-Go Technologies, Inc.",1,2400000,1000000,42263
UtilizeCore.com,82,4000000,5300000,44362
Cake (joincake.com),29,2000000,3700000,44398
Visbit Inc.,12,1000000,3200000,42710
"Digible, Inc",51,1000000,250000,43200
Noteworth,20,1690000,5000000,44027
Daycation,16,3500000,,43221
rezora,15,2800000,18000,40026
DocDep,190,5000000,,40756
Rollio AI,16,2000000,670000,42064
Indicio,40,1000000,3500000,44562
ActivityHero,16,3000000,2200000,41885
Fishbowl,99,3000000,5300000,43846
MightySignal,3,1000000,1200000,42038
Conductrics INC,3,1000000,210000,41214
"Patient Pattern, Inc",24,2400000,2000000,44621
Kitcast,6,4500000,500000,42929
Rootly,9,1000000,3200000,44385
Spiketrap,23,3000000,3000000,44013
Ovation,39,1500000,1000000,43689
Major League Hacking,220,1300000,1000000,42459
"Digible, Inc",51,1000000,250000,43200
CollegePads.com,14,1200000,1000000,42629
Form.io,14,1800000,500000,42570
Onepager,2,4139000,350000,40817
Vevolution,12,4512000,330000,44621
Get on Board,32,1000000,600000,43862
Swit,110,3100000,5000000,44131
chiefofstaff.com,14,2000000,293000,43873
Happy Cabbage Analytics,14,3000000,1500000,44111
Markerly,8,1500000,800000,41653
Form.io,14,1800000,500000,42570
Trade Hounds,19,1500000,3200000,43994
MachEye,17,1212000,4600000,44105
Rukuku,5,2400000,382206,41479
Harmonize,21,1100000,,43160
Indicio,40,1000000,3500000,44562
Visage,36,2742000,2150000,42173
KlariVis,33,3900000,2500000,44013
FiComm Partners,16,1000000,300000,43345
ConferenceCast.tv,8,2000000,130000,43504
Everywear,14,1000000,100000,43030
Xapix,19,2500000,2000000,43532
Tuebora Inc,34,4000000,,41408
Vidora,20,3620000,2500000,42705
Spatial.ai,6,2000000,2100000,42716
Paperflite,61,2400000,400000,43124
RackN,21,2000000,,42644
Gearflow.com,23,1000000,3000000,44376
"Backtracks, Inc.",7,2500000,2100000,43615
Selequity,16,2000000,590000,42788
dotin Inc.,27,3500000,,43922
Gearflow.com,23,1000000,3000000,44376
Tuva,22,1000000,430000,41791
Zirtue,12,3100000,2500000,44287
Joincube,4,2390000,500000,41609
Realquantum,18,2100000,850000,43433
"Deep BI, Inc.",23,3200000,1300000,43221
mxHERO,18,4179000,500000,41849
Tierra Biosciences,18,3000000,2600000,43354
